School name,Region,District,Adress,Number students,Number teachers,Student teacher ratio,2010 - Type,2010 Cost,2011 Type,2011 Cost,2012 Type,2012 Cost,2013 Type,2013 Cost,2014 Type,2014 Cost
სსიპ - აფხაზეთის №22 საჯარო სკოლა,აფხაზეთი,აფხაზეთი,"ბორჯომის რაიონი, დაბა ლიკანი, მესხეთის  ქ. №39",14,8,1.75,გათბობა,"[""სახელშეკრულებო თანხა"", nil]",რეაბილიტაცია,"[""სახელშეკრულებო თანხა"", "" 10,623.00 ""]",რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - აფხაზეთის №5 საჯარო სკოლა,აფხაზეთი,აფხაზეთი,"ქუთაისი,  ჭავჭავაძის ქ. №6ა",156,24,6.5,,,კორპუსის მშენებლობა,"[""სახელშეკრულებო თანხა"", nil]",რეაბილიტაცია,"["" თანხა "", ""9,474.12""]",,,,
სსიპ - ვოვა ვეკუას სახელობის აფხაზეთის №3 საჯარო სკოლა,აფხაზეთი,აფხაზეთი,"თბილისი, თბილისის ზღვა ყოფილი პროფკავშირების სასწავლო ცენტრი",129,22,5.86,,,რეაბილიტაციის დასრულება,"[""სახელშეკრულებო თანხა"", "" 146,957.70 ""]",რეაბილიტაცია (გზისპირა),"["" თანხა "", ""59,202.26""]",,,,
სსიპ - თემურ ბოკუჩავას სახელობის აფხაზეთის №7 საჯარო სკოლა,აფხაზეთი,აფხაზეთი,"სენაკი, ყოფილი სამხედრო დასახლების სკოლის შენობა",223,25,8.92,გათბობა,"[""სახელშეკრულებო თანხა"", nil]",რეაბილიტაცია,"[""სახელშეკრულებო თანხა"", nil]",რეაბილიტაცია,"["" თანხა "", ""110,077.21""]",,,,
სსიპ - ჟიული შარტავას სახელობის აფხაზეთის №6 საჯარო სკოლა,აფხაზეთი,აფხაზეთი,"ქუთაისი, ნიკეას ქ. მე-3 შესახვევი №2",162,21,7.71,გათბობა,"[""სახელშეკრულებო თანხა"", nil]",რეაბილიტაცია,"[""სახელშეკრულებო თანხა"", "" 15,416.00 ""]",რეაბილიტაცია (გზისპირა),"["" თანხა "", ""21,465.74""]",რეაბილიტაცია,"["" ხელშეკრულების თანხა "", "" 25,135.02 ""]",რეაბილიტაცია,"["" ხელშეკრულების თანხა "", "" 25,135.02 ""]"
სსიპ - აკაკი წერეთლის სახელობის ქალაქ ბათუმის №11 საჯარო სკოლა,აჭარა,ბათუმი,"ბათუმი, გოგებაშვილის 40",397,34,11.68,გათბობა,"[""სახელშეკრულებო თანხა"", nil]",გამაგრება რეაბილიტაციის დასრულება,"[""სახელშეკრულებო თანხა"", nil]",რეაბილიტაცია,"["" თანხა "", ""49,274.60""]",,,,
სსიპ - ილია ჭავჭავაძის სახელობის ქალაქ ბათუმის №1 საჯარო სკოლა,აჭარა,ბათუმი,"ბათუმი, დ. თავდადებულის 47",2065,110,18.77,გათბობა,"[""სახელშეკრულებო თანხა"", nil]",რეაბილიტაცია,"[""სახელშეკრულებო თანხა"", "" 40,117.00 ""]",მომავლის კლასი,"["" თანხა "", ""29,128.60""]",რეაბილიტაცია,"["" ხელშეკრულების თანხა "", "" 26,431.35 ""]",რეაბილიტაცია,"["" ხელშეკრულების თანხა "", "" 26,431.35 ""]"
სსიპ - ქალაქ ბათუმის №10 საჯარო სკოლა,აჭარა,ბათუმი,"ბათუმი, ბაგრატიონის 121",1097,84,13.06,გათბობა,"[""სახელშეკრულებო თანხა"", nil]",,"[""სახელშეკრულებო თანხა"", "" 6,499.73 ""]",რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ქალაქ ბათუმის №13 საჯარო სკოლა,აჭარა,ბათუმი,"ბათუმი, მთისძირის 43",328,34,9.65,გათბობა,"[""სახელშეკრულებო თანხა"", nil]",რეაბილიტაცია,"[""სახელშეკრულებო თანხა"", "" 1,048.58 ""]",რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ქალაქ ბათუმის №14 საჯარო სკოლა,აჭარა,ბათუმი,"ბათუმი, ინასარიძის 15",952,73,13.04,გათბობა,"[""სახელშეკრულებო თანხა"", nil]",რეაბილიტაცია,"[""სახელშეკრულებო თანხა"", "" 2,298.32 ""]",რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ქალაქ ბათუმის №15 საჯარო სკოლა,აჭარა,ბათუმი,"ბათუმი, გორგასლის 160",551,41,13.44,გათბობა,"[""სახელშეკრულებო თანხა"", nil]",რეაბილიტაცია,"[""სახელშეკრულებო თანხა"", "" 399,000.00 ""]",რეაბილიტაცია,"["" თანხა "", ""63,325.24""]",,,,
სსიპ - ქალაქ ბათუმის №16 საჯარო სკოლა,აჭარა,ბათუმი,"ბათუმი, მაიაკოვსკის 3",1016,65,15.63,გათბობა,"[""სახელშეკრულებო თანხა"", "" 4,973.46 ""]",,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ქალაქ ბათუმის №17 საჯარო სკოლა,აჭარა,ბათუმი,"ბათუმი, ნონეშვილის 6",442,42,10.52,გათბობა,"[""სახელშეკრულებო თანხა"", nil]",გათბობის სისტემის რეაბილიტაცია,"[""სახელშეკრულებო თანხა"", "" 4,700.00 ""]",რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ქალაქ ბათუმის №18 საჯარო სკოლა,აჭარა,ბათუმი,"ბათუმი, გრიშაშვილის 3",1104,82,13.46,გათბობა,"[""სახელშეკრულებო თანხა"", nil]",რეაბილიტაცია,"[""სახელშეკრულებო თანხა"", "" 8,414.00 ""]",რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ქალაქ ბათუმის №2 საჯარო სკოლა,აჭარა,ბათუმი,"ბათუმი, ჯინჭარაძის 19",1852,99,18.71,გათბობა,"[""სახელშეკრულებო თანხა"", nil]",რეაბილიტაცია,"[""სახელშეკრულებო თანხა"", "" 125,451.00 ""]",რეაბილიტაცია,"["" თანხა "", ""4,926.30""]",,,,
სსიპ - ქალაქ ბათუმის №20 საჯარო სკოლა,აჭარა,ბათუმი,"ბათუმი, მელიქიშვილის 125",546,53,10.3,გათბობა,"[""სახელშეკრულებო თანხა"", nil]",,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ქალაქ ბათუმის №22 საჯარო სკოლა,აჭარა,ბათუმი,სოფ. შარაბიძეები,1118,68,16.44,გათბობა,"[""სახელშეკრულებო თანხა"", nil]",რეაბილიტაცია,"[""სახელშეკრულებო თანხა"", "" 10,623.00 ""]",რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ქალაქ ბათუმის №23 საჯარო სკოლა,აჭარა,ბათუმი,სოფ. მახვილაური,216,28,7.71,გათბობა,"[""სახელშეკრულებო თანხა"", "" 5,895.01 ""]",რეაბილიტაცია,"[""სახელშეკრულებო თანხა"", "" 16,490.00 ""]",რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ქალაქ ბათუმის №25 საჯარო სკოლა,აჭარა,ბათუმი,სოფ. კახაბერი,641,50,12.82,გათბობა,"[""სახელშეკრულებო თანხა"", nil]",რეაბილიტაცია,"[""სახელშეკრულებო თანხა"", "" 2,906.00 ""]",რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ქალაქ ბათუმის №26 საჯარო სკოლა,აჭარა,ბათუმი,სოფ. კახაბერი,372,39,9.54,გათბობა,"[""სახელშეკრულებო თანხა"", nil]",რეაბილიტაცია,"[""სახელშეკრულებო თანხა"", "" 23,760.00 ""]",რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ქალაქ ბათუმის №27 საჯარო სკოლა,აჭარა,ბათუმი,სოფ. ადლია,194,23,8.43,გათბობა,"[""სახელშეკრულებო თანხა"", nil]",,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ქალაქ ბათუმის №28 საჯარო სკოლა,აჭარა,ბათუმი,სოფ. ურეხი,341,39,8.74,გათბობა,"[""სახელშეკრულებო თანხა"", nil]",რეაბილიტაცია,"[""სახელშეკრულებო თანხა"", "" 108,850.00 ""]",რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ქალაქ ბათუმის №29 საჯარო სკოლა,აჭარა,ბათუმი,სოფ. ინჯალო,161,23,7.0,გათბობა,"[""სახელშეკრულებო თანხა"", nil]",,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ქალაქ ბათუმის №3 საჯარო სკოლა,აჭარა,ბათუმი,"ბატუმი, ვ. გორგასლის 122",1140,71,16.06,,,რეაბილიტაციის დასრულება,"[""სახელშეკრულებო თანხა"", "" 146,957.70 ""]",რეაბილიტაცია (გზისპირა),"["" თანხა "", ""59,202.26""]",,,,
სსიპ - ქალაქ ბათუმის №30 საჯარო სკოლა,აჭარა,ბათუმი,"ქალაქი ბათუმი, სვიმონ კანანელის ქუჩა N1",412,35,11.77,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ქალაქ ბათუმის №31 საჯარო სკოლა,აჭარა,ბათუმი,სოფ. თოდოგაური,61,9,6.78,,,,"[""სახელშეკრულებო თანხა"", ""36270.00""]",რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ქალაქ ბათუმის №4 საჯარო სკოლა,აჭარა,ბათუმი,"ბათუმი, პუშკინის 63",630,50,12.6,,,რეაბილიტაცია,"[""სახელშეკრულებო თანხა"", "" 2,000.00 ""]",რეაბილიტაცია,"["" თანხა "", ""49,408.06""]",,,,
სსიპ - ქალაქ ბათუმის №5 საჯარო სკოლა,აჭარა,ბათუმი,მაიაკოვსკის ქ.№56,960,73,13.15,,,კორპუსის მშენებლობა,"[""სახელშეკრულებო თანხა"", nil]",რეაბილიტაცია,"["" თანხა "", ""9,474.12""]",,,,
სსიპ - ქალაქ ბათუმის №6 ფიზიკა-მათემატიკის საჯარო სკოლა,აჭარა,ბათუმი,"ბათუმი, ფიროსმანის #5",510,39,13.08,გათბობა,"[""სახელშეკრულებო თანხა"", nil]",,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ქალაქ ბათუმის №7 საჯარო სკოლა,აჭარა,ბათუმი,"ბათუმი, ჰ. აბაშიძის 30",776,66,11.76,გათბობა,"[""სახელშეკრულებო თანხა"", nil]",რეაბილიტაცია,"[""სახელშეკრულებო თანხა"", nil]",რეაბილიტაცია,"["" თანხა "", ""110,077.21""]",,,,
სსიპ - ქალაქ ბათუმის №8 საჯარო სკოლა,აჭარა,ბათუმი,"ბათუმი, გრიბოედოვის 35",1643,90,18.26,სპ.დარბაზი,"[""სახელშეკრულებო თანხა"", "" 19,985.54 ""]",,"[""სახელშეკრულებო თანხა"", "" 37,499.00 ""]",რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ქალაქ ბათუმის №9 საჯარო სკოლა,აჭარა,ბათუმი,"ბათუმი, ტაბიძის 13",1327,105,12.64,,,რეაბილიტაცია,"[""სახელშეკრულებო თანხა"", "" 8,062.56 ""]",რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
შპს  ახალგაზრდობა,აჭარა,ბათუმი,"ბათუმი, ფიროსმანის 8/10",19,10,1.9,,,,,,,,,,
შპს  ბათუმის წმინდა ანდრია პირველწოდებულის სახელობის სკოლა,აჭარა,ბათუმი,"ბათუმი, დიმიტრი თავდადებულის 49",1467,77,19.05,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
შპს  განათლება,აჭარა,ბათუმი,"ბათუმი, ქავთარაძის 1 შეს. 20",213,30,7.1,,,,,,,,,,
შპს  გიმნაზია-21-ე საუკუნე,აჭარა,ბათუმი,"ქ. ბათუმი, პუშკინის 160",400,51,7.84,,,,,,,,,,
შპს  გორდას ქალაქ ბათუმის კერძო მრავალპროფილიანი საერო ელიტარული საშუალო სკოლა,აჭარა,ბათუმი,"ბათუმი, დ. თავდადებულის ქ. №65",308,48,6.42,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
შპს  კავკასიის ბიზნესის სკოლა,აჭარა,ბათუმი,"ბათუმი, გრიბოედოვის 67",217,40,5.43,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
შპს  მედიანა 2011,აჭარა,ბათუმი,"ბათუმი, ლერმონტოვის 24",163,40,4.08,,,,,,,,,,
შპს  მომავლის სკოლა,აჭარა,ბათუმი,"ქ. ბათუმი, აღმაშენებლის №13",187,34,5.5,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
შპს  სკოლა - ნიკე,აჭარა,ბათუმი,"ბათუმი, მ. აბაშიძის 57",333,48,6.94,,,,,,,,,,
შპს  სკოლა ევრო-2000,აჭარა,ბათუმი,"ბათუმი, გორგილაძის 91",620,70,8.86,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
შპს  სკოლა-ლიცეუმი მასტერკლასი,აჭარა,ბათუმი,"ბათუმი,ფარნავაზ მეფის 138",658,73,9.01,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
შპს არილი,აჭარა,ბათუმი,"ბათუმი, მაქაცარიას 11",152,27,5.63,,,,,,,,,,
შპს თაობა - XXI,აჭარა,ბათუმი,"ბათუმი, დავით აღმაშენებლის 13",160,25,6.4,,,,,,,,,,
შპს ლედა,აჭარა,ბათუმი,"ქ. ბათუმი, აღმაშენებლის ქ. №13, მესამე სართული",116,16,7.25,,,,,,,,,,
შპს მრავალდარგობრივი გიმნაზია იბერია,აჭარა,ბათუმი,"ბათუმი, მელიქიშვილი/ნინოშვილის 1/27",62,23,2.7,,,,,,,,,,
შპს ნერგები,აჭარა,ბათუმი,"ბათუმი, აღმაშენებლის 20ა",150,27,5.56,,,,,,,,,,
შპს რწმენა,აჭარა,ბათუმი,"ბათუმი, ზუბალაშვილის 38",0,4,0.0,,,,,,,,,,
შპს ფრანგული სკოლა,აჭარა,ბათუმი,"ბათუმი, სააკაძის 8",57,21,2.71,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
შპს ჩაღლარის საგანმანათლებლო დაწესებულებების ქ.ბათუმის რ.შაჰინის სახელობის მეგობრობის სკოლა-ლიცეუმი,აჭარა,ბათუმი,"ბათუმი, ბაგრატიონის 117",414,50,8.28,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - დაბა ქედის საჯარო სკოლა,აჭარა,ქედა,დაბა ქედა,414,44,9.41,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ფრიდონ თურმანიძის სახელობის ქედის მუნიციპალიტეტის სოფელ მერისის საჯარო სკოლა,აჭარა,ქედა,სოფ. მერისი,201,36,5.58,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ქედის მუნიციპალიტეტის სოფელ აგარის საჯარო სკოლა,აჭარა,ქედა,სოფ. აგარა,23,14,1.64,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ქედის მუნიციპალიტეტის სოფელ აქუცის საჯარო სკოლა,აჭარა,ქედა,სოფ. აქუცა,8,9,0.89,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ქედის მუნიციპალიტეტის სოფელ ახოს №1 საჯარო სკოლა,აჭარა,ქედა,სოფელი ახო,102,26,3.92,გათბობა,"[""სახელშეკრულებო თანხა"", nil]",რეაბილიტაცია,"[""სახელშეკრულებო თანხა"", "" 40,117.00 ""]",მომავლის კლასი,"["" თანხა "", ""29,128.60""]",რეაბილიტაცია,"["" ხელშეკრულების თანხა "", "" 26,431.35 ""]",რეაბილიტაცია,"["" ხელშეკრულების თანხა "", "" 26,431.35 ""]"
სსიპ - ქედის მუნიციპალიტეტის სოფელ ახოს საჯარო სკოლა,აჭარა,ქედა,სოფ. ახო,79,19,4.16,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ქედის მუნიციპალიტეტის სოფელ გეგელიძეების საჯარო სკოლა,აჭარა,ქედა,სოფ. გეგელიძეები,59,21,2.81,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ქედის მუნიციპალიტეტის სოფელ გოგიაშვილების საჯარო სკოლა,აჭარა,ქედა,სოფ. გოგიაშვილები,70,22,3.18,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ქედის მუნიციპალიტეტის სოფელ დანდალოს საჯარო სკოლა,აჭარა,ქედა,სოფ. დანდალო,86,20,4.3,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ქედის მუნიციპალიტეტის სოფელ დოლოგნის საჯარო სკოლა,აჭარა,ქედა,სოფ. დოლოგანი,108,24,4.5,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ქედის მუნიციპალიტეტის სოფელ ვაიოს საჯარო სკოლა,აჭარა,ქედა,სოფ. ვაიო,73,21,3.48,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ქედის მუნიციპალიტეტის სოფელ ზედა ბზუბზუს საჯარო სკოლა,აჭარა,ქედა,სოფელი ზედა ბზუბზუ,17,5,3.4,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ქედის მუნიციპალიტეტის სოფელ ზვარეს საჯარო სკოლა,აჭარა,ქედა,სოვ. ზვარე,68,25,2.72,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ქედის მუნიციპალიტეტის სოფელ ინაშარიძეების საჯარო სკოლა,აჭარა,ქედა,სოფ. ინაშარიძეები,11,6,1.83,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ქედის მუნიციპალიტეტის სოფელ კვაშტის საჯარო სკოლა,აჭარა,ქედა,სოფ. კვაშტა,47,17,2.76,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ქედის მუნიციპალიტეტის სოფელ კოკოტაურის საჯარო სკოლა,აჭარა,ქედა,სოფ. კოკოტაური,58,18,3.22,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ქედის მუნიციპალიტეტის სოფელ კოლოტაურის საჯარო სკოლა,აჭარა,ქედა,სოფ. კოლოტაური,18,11,1.64,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ქედის მუნიციპალიტეტის სოფელ მახუნცეთის საჯარო სკოლა,აჭარა,ქედა,სოფ. მახუნცეთი,94,27,3.48,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ქედის მუნიციპალიტეტის სოფელ მეძიბნის საჯარო სკოლა,აჭარა,ქედა,სოფ. მეძიბნა,36,14,2.57,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ქედის მუნიციპალიტეტის სოფელ ორცვის საჯარო სკოლა,აჭარა,ქედა,სოფ. ორცვა,23,11,2.09,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ქედის მუნიციპალიტეტის სოფელ ოქტომბრის საჯარო სკოლა,აჭარა,ქედა,სოფ. ოქტომბერი,40,23,1.74,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ქედის მუნიციპალიტეტის სოფელ პირველი მაისის საჯარო სკოლა,აჭარა,ქედა,სოფ. პირველი მაისი,107,31,3.45,რეაბილიტაცია (დას),"[""სახელშეკრულებო თანხა"", "" 12,728.50 ""]",,,რეაბილიტაცია (გზისპირა),"["" თანხა "", ""14,053.38""]",რეაბილიტაცია,"["" ხელშეკრულების თანხა "", "" 38,599.90 ""]",რეაბილიტაცია,"["" ხელშეკრულების თანხა "", "" 38,599.90 ""]"
სსიპ - ქედის მუნიციპალიტეტის სოფელ უჩხითის საჯარო სკოლა,აჭარა,ქედა,სოფ. უჩხითი,100,24,4.17,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ქედის მუნიციპალიტეტის სოფელ ქვედა მახუნცეთის საჯარო სკოლა,აჭარა,ქედა,სოფ. აწჰესი,99,30,3.3,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ქედის მუნიციპალიტეტის სოფელ ცხმორისის საჯარო სკოლა,აჭარა,ქედა,სოფ. ცხმორისი,106,23,4.61,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ქედის მუნიციპალიტეტის სოფელ ძენწმანის საჯარო სკოლა,აჭარა,ქედა,სოფ. ძენწმანი,52,24,2.17,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ქედის მუნიციპალიტეტის სოფელ წონიარისის საჯარო სკოლა,აჭარა,ქედა,სოფ. წონიარისი,172,34,5.06,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ქედის მუნიციპალიტეტის სოფელ ხარაულის საჯარო სკოლა,აჭარა,ქედა,სოფ. ხარაული,95,23,4.13,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ქედის მუნიციპალიტეტის სოფელ ჯალაბაშვილების საჯარო სკოლა,აჭარა,ქედა,სოფ. ჯალაბაშვილები,30,15,2.0,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
ა(ა)იპ ქობულეთის წმიდა მღვდელმოწამე სრულიად საქართველოს კათოლიკოს-პატრიარქ კირიონ II სახელობის საგანმანათლებლო მართლმადიდებლური ცენტრი,აჭარა,ქობულეთი,"ქობულეთის რაიონი, აღმაშენებლის ქ. 251",402,42,9.57,,,,,,,,,,
სსიპ - ბადრი ბერანძის სახელობის ქალაქ ქობულეთის №6 საჯარო სკოლა,აჭარა,ქობულეთი,რუსთაველის შესახ. №5,262,30,8.73,გათბობა,"[""სახელშეკრულებო თანხა"", nil]",რეაბილიტაცია,"[""სახელშეკრულებო თანხა"", "" 15,416.00 ""]",რეაბილიტაცია (გზისპირა),"["" თანხა "", ""21,465.74""]",რეაბილიტაცია,"["" ხელშეკრულების თანხა "", "" 25,135.02 ""]",რეაბილიტაცია,"["" ხელშეკრულების თანხა "", "" 25,135.02 ""]"
სსიპ - გიორგი შაინიძის სახელობის ქობულეთის მუნიციპალიტეტის დაბა ოჩხამურის საჯარო სკოლა,აჭარა,ქობულეთი,სოფ. ოჩხამური,263,29,9.07,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ედნარ დიასამიძის სახელობის ქობულეთის მუნიციპალიტეტის სოფელ სახალვაშოს საჯარო სკოლა,აჭარა,ქობულეთი,სოფ. სახალვაშო,116,21,5.52,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - ზვიად დავითაძის სახელობის ქობულეთის მუნიციპალიტეტის სოფელ შუაღელეს საჯარო სკოლა,აჭარა,ქობულეთი,სოფ. შუაღელე,108,21,5.14,,,,,რეაბილიტაცია,"["" თანხა "", ""9,859.40""]",,,,
სსიპ - თეიმურაზ ჯორბენაძის სახელობის ქალაქ ქობულეთის №3 საჯარო სკოლა,აჭარა,ქობულეთი,რუსთაველის ქ. №168,516,43,12.0,,,რეაბილიტაციის დასრულება,"[""სახელშეკრულებო თანხა"", "" 146,957.70 ""]",რეაბილიტაცია (გზისპირა),"["" თანხა "", ""59,202.26""]",,,,
